From	To
KAISO_HUMAN	ZBTB33
GABP1_HUMAN	GABPB1
ZN639_HUMAN	ZNF639
BHE40_HUMAN	BHLHE40
ZN143_HUMAN	ZNF143
BMAL1_HUMAN	ARNTL
YBOX1_HUMAN	YBX1
ZBT7B_HUMAN	ZBTB7B
TYY2_HUMAN	YY2
TYY1_HUMAN	YY1
SMRC1_HUMAN	SMARCC1
NF2L2_HUMAN	NFE2L2
ZN148_HUMAN	ZNF148
CR3L2_HUMAN	CREB3L2
CR3L1_HUMAN	CREB3L1
ATF6A_HUMAN	ATF6
P63_HUMAN	TP63
ZN740_HUMAN	ZNF740
HEN1_HUMAN	NHLH1
AP2B_HUMAN	TFAP2B
P53_HUMAN	TP53
MLXPL_HUMAN	MLXIPL
AP2D_HUMAN	TFAP2D
BHE41_HUMAN	BHLHE41
ZN219_HUMAN	ZNF219
ZEP1_HUMAN	HIVEP1
ZEP2_HUMAN	HIVEP2
TF65_HUMAN	RELA
NDF1_HUMAN	NEUROD1
NFAC1_HUMAN	NFATC1
P73_HUMAN	TP73
AP2C_HUMAN	TFAP2C
ZBT49_HUMAN	ZBTB49
ENOA_HUMAN	ENO1
ZN589_HUMAN	ZNF589
ZBT7A_HUMAN	ZBTB7A
PLAL1_HUMAN	PLAGL1
PO3F1_HUMAN	POU3F1
TF7L1_HUMAN	TCF7L1
TWST1_HUMAN	TWIST1
SRBP2_HUMAN	SREBF2
THB_HUMAN	THRB
SRBP1_HUMAN	SREBF1
NF2L1_HUMAN	NFE2L1
ZN350_HUMAN	ZNF350
HTF4_HUMAN	TCF12
BC11A_HUMAN	BCL11A
ZN423_HUMAN	ZNF423
ANDR_HUMAN	AR
ITF2_HUMAN	TCF4
COE1_HUMAN	EBF1
COT1_HUMAN	NR2F1
RHXF1_HUMAN	RHOXF1
STA5B_HUMAN	STAT5B
HXB2_HUMAN	HOXB2
NKX21_HUMAN	NKX2-1
STA5A_HUMAN	STAT5A
HXA13_HUMAN	HOXA13
PEBB_HUMAN	CBFB
AP2A_HUMAN	TFAP2A
SUH_HUMAN	RBPJ
UBIP1_HUMAN	UBP1
ZN282_HUMAN	ZNF282
TFE2_HUMAN	TCF3
THA_HUMAN	THRA
PRGR_HUMAN	PGR
COT2_HUMAN	NR2F2
PKNX1_HUMAN	PKNOX1
MUSC_HUMAN	MSC
HXC11_HUMAN	HOXC11
ERR1_HUMAN	ESRRA
ZN333_HUMAN	ZNF333
MYBB_HUMAN	MYBL2
PO4F1_HUMAN	POU4F1
RORG_HUMAN	RORC
BHE23_HUMAN	BHLHE23
ZKSC3_HUMAN	ZKSCAN3
GCR_HUMAN	NR3C1
ZSCA4_HUMAN	ZSCAN4
ZBT18_HUMAN	ZBTB18
NFAC2_HUMAN	NFATC2
BHA15_HUMAN	BHLHA15
PRD14_HUMAN	PRDM14
HXA2_HUMAN	HOXA2
TF7L2_HUMAN	TCF7L2
PKNX2_HUMAN	PKNOX2
PO2F2_HUMAN	POU2F2
HXB13_HUMAN	HOXB13
HXB6_HUMAN	HOXB6
HXC8_HUMAN	HOXC8
HMBX1_HUMAN	HMBOX1
PO2F1_HUMAN	POU2F1
ZN384_HUMAN	ZNF384
NKX23_HUMAN	NKX2-3
PO4F3_HUMAN	POU4F3
MCR_HUMAN	NR3C2
TF2LX_HUMAN	TGIF2LX
HME2_HUMAN	EN2
PO6F1_HUMAN	POU6F1
ZN524_HUMAN	ZNF524
NKX25_HUMAN	NKX2-5
PO5F1_HUMAN	POU5F1
HXB8_HUMAN	HOXB8
STF1_HUMAN	NR5A1
BARH1_HUMAN	BARHL1
NFAC4_HUMAN	NFATC4
HXC12_HUMAN	HOXC12
P5F1B_HUMAN	POU5F1B
HXB7_HUMAN	HOXB7
ARI5B_HUMAN	ARID5B
ZN410_HUMAN	ZNF410
ZN784_HUMAN	ZNF784
HXD8_HUMAN	HOXD8
ZN652_HUMAN	ZNF652
HXD11_HUMAN	HOXD11
NKX28_HUMAN	NKX2-8
NGN2_HUMAN	NEUROG2
NFAC3_HUMAN	NFATC3
NDF2_HUMAN	NEUROD2
PO6F2_HUMAN	POU6F2
NKX62_HUMAN	NKX6-2
ZN713_HUMAN	ZNF713
ERR3_HUMAN	ESRRG
PO2F3_HUMAN	POU2F3
HXB1_HUMAN	HOXB1
PO3F2_HUMAN	POU3F2
HNF6_HUMAN	ONECUT1
PIT1_HUMAN	POU1F1
ONEC3_HUMAN	ONECUT3
MGAP_HUMAN	MGA
NKX32_HUMAN	NKX3-2
HXA9_HUMAN	HOXA9
ERR2_HUMAN	ESRRB
HXA10_HUMAN	HOXA10
BRAC_HUMAN	T
HXC13_HUMAN	HOXC13
HXD9_HUMAN	HOXD9
HXC6_HUMAN	HOXC6
HXD10_HUMAN	HOXD10
BHE22_HUMAN	BHLHE22
HXD12_HUMAN	HOXD12
HXD13_HUMAN	HOXD13
PO3F4_HUMAN	POU3F4
HXA5_HUMAN	HOXA5
HXD3_HUMAN	HOXD3
FOXO6_HUMAN	FOXO6
HXA1_HUMAN	HOXA1
ARI3A_HUMAN	ARID3A
NKX61_HUMAN	NKX6-1
ZKSC1_HUMAN	ZKSCAN1
HXC10_HUMAN	HOXC10
MYBA_HUMAN	MYBL1
NKX22_HUMAN	NKX2-2
ONEC2_HUMAN	ONECUT2
HXD4_HUMAN	HOXD4
PO4F2_HUMAN	POU4F2
HXA7_HUMAN	HOXA7
PHX2B_HUMAN	PHOX2B
UNC4_HUMAN	UNCX
RX_HUMAN	RAX
PHX2A_HUMAN	PHOX2A
BARH2_HUMAN	BARHL2
BSH_HUMAN	BSX
HXB3_HUMAN	HOXB3
ZSC16_HUMAN	ZSCAN16
PO3F3_HUMAN	POU3F3
HXA11_HUMAN	HOXA11
HME1_HUMAN	EN1
NKX31_HUMAN	NKX3-1
EVI1_HUMAN	MECOM
ZN232_HUMAN	ZNF232
ZNF238_HUMAN	ZBT18
